date,product_id,product_name,category,price,cost_price,units_sold,revenue,discount_percent,stock_available,competitor_price,rating,review_count,is_promoted,day_of_week,month,is_weekend,is_holiday,season,days_since_launch
2021-03-19,P023,Fashion_Product_23,Fashion,1475.06,916.79,251,370239.19,7.13,251,1607.94,4.03,1,0,Friday,3,0,0,Spring,16
2021-03-19,P019,Electronics_Product_19,Electronics,4952.69,2989.92,31,153533.41,3.01,151,5235.07,2.99,10,0,Friday,3,0,0,Spring,69
2021-03-20,P024,Electronics_Product_24,Electronics,11444.81,7053.16,307,3513557.41,5.6,389,12983.7,3.63,4,0,Saturday,3,1,0,Spring,44
2021-03-21,P023,Fashion_Product_23,Fashion,1348.22,916.79,77,103812.89,11.11,203,1583.86,3.3,1,1,Sunday,3,1,0,Spring,18
2021-03-23,P018,Electronics_Product_18,Electronics,5907.31,3822.73,50,295365.41,7.78,288,6877.65,3.35,5,0,Tuesday,3,0,0,Spring,41
2021-03-23,P031,Fashion_Product_31,Fashion,2810.13,1642.22,55,154557.3,1.17,567,2838.02,3.25,2,0,Tuesday,3,0,0,Spring,20
2021-03-24,P038,Fashion_Product_38,Fashion,2350.31,1407.99,319,749748.31,4.5,319,2240.24,4.09,3,0,Wednesday,3,0,0,Spring,31
2021-03-24,P018,Electronics_Product_18,Electronics,3977.48,3822.73,221,879023.42,37.83,221,7133.91,3.67,5,1,Wednesday,3,0,0,Spring,42
2021-03-25,P019,Electronics_Product_19,Electronics,4415.73,2989.92,113,498978.03,8.48,143,5162.94,3.88,8,0,Thursday,3,0,0,Spring,75
2021-03-25,P038,Fashion_Product_38,Fashion,2207.11,1407.99,208,459079.35,8.8,364,2548.23,3.56,3,0,Thursday,3,0,0,Spring,32
2021-03-26,P038,Fashion_Product_38,Fashion,2397.53,1407.99,384,920650.87,0.31,452,2585.43,4.01,4,0,Friday,3,0,0,Spring,33
2021-03-26,P038,Fashion_Product_38,Fashion,2359.85,1407.99,63,148670.65,2.73,261,2667.89,3.49,5,0,Friday,3,0,0,Spring,33
2021-03-27,P024,Electronics_Product_24,Electronics,11174.0,7053.16,298,3329853.03,4.66,360,13405.53,3.63,6,0,Saturday,3,1,0,Spring,51
2021-03-28,P019,Electronics_Product_19,Electronics,3069.29,2989.92,61,187226.8,37.6,228,4877.22,3.39,8,1,Sunday,3,1,0,Spring,78
2021-03-28,P031,Fashion_Product_31,Fashion,2583.53,1642.22,226,583878.82,5.64,505,2652.05,3.66,2,0,Sunday,3,1,0,Spring,25
2021-03-28,P038,Fashion_Product_38,Fashion,1933.52,1407.99,285,551051.83,18.77,285,2643.92,3.67,4,1,Sunday,3,1,0,Spring,35
2021-03-28,P032,Fashion_Product_32,Fashion,2689.86,1630.33,106,285124.64,4.32,606,2883.25,3.46,5,0,Sunday,3,1,0,Spring,43
2021-03-29,P023,Fashion_Product_23,Fashion,1016.47,916.79,93,94531.41,31.29,226,1521.6,3.12,2,1,Monday,3,0,0,Spring,26
2021-03-29,P023,Fashion_Product_23,Fashion,1422.42,916.79,32,45517.45,9.41,221,1490.67,3.38,3,0,Monday,3,0,0,Spring,26
2021-03-31,P018,Electronics_Product_18,Electronics,6145.78,3822.73,169,1038636.8,0.86,361,7029.02,3.83,7,0,Wednesday,3,0,0,Spring,49
2021-03-31,P031,Fashion_Product_31,Fashion,2519.43,1642.22,228,574430.72,5.23,533,2768.62,3.61,3,0,Wednesday,3,0,0,Spring,28
2021-03-31,P031,Fashion_Product_31,Fashion,2466.59,1642.22,70,172661.53,7.3,438,2941.63,3.21,3,0,Wednesday,3,0,0,Spring,28
2021-04-01,P023,Fashion_Product_23,Fashion,1225.92,916.79,239,292994.1,21.62,239,1636.35,3.79,2,1,Thursday,4,0,0,Spring,29
2021-04-01,P038,Fashion_Product_38,Fashion,2109.09,1407.99,46,97018.29,6.71,313,2288.13,3.18,4,0,Thursday,4,0,0,Spring,39
2021-04-01,P023,Fashion_Product_23,Fashion,1542.77,916.79,142,219073.37,2.92,174,1640.03,3.96,4,0,Thursday,4,0,0,Spring,29
2021-04-01,P019,Electronics_Product_19,Electronics,4953.74,2989.92,79,391345.31,4.67,155,4990.52,3.94,8,0,Thursday,4,0,0,Spring,82
2021-04-01,P038,Fashion_Product_38,Fashion,2032.54,1407.99,184,373986.95,9.16,366,2517.05,3.91,3,0,Thursday,4,0,0,Spring,39
2021-04-03,P019,Electronics_Product_19,Electronics,4512.28,2989.92,120,541474.12,7.91,157,4914.04,3.67,11,0,Saturday,4,1,0,Spring,84
2021-04-03,P018,Electronics_Product_18,Electronics,5673.92,3822.73,72,408522.36,7.34,310,6427.69,3.24,7,0,Saturday,4,1,0,Spring,52
2021-04-04,P002,Fashion_Product_2,Fashion,1134.43,1068.5,130,147475.41,33.69,269,1797.26,3.28,0,1,Sunday,4,1,0,Spring,6
2021-04-05,P032,Fashion_Product_32,Fashion,2709.73,1630.33,193,522977.73,0.99,383,2633.4,3.73,5,0,Monday,4,0,0,Spring,51
2021-04-05,P031,Fashion_Product_31,Fashion,2032.56,1642.22,135,274395.87,22.38,306,2901.48,3.49,5,1,Monday,4,0,0,Spring,33
2021-04-05,P019,Electronics_Product_19,Electronics,3509.78,2989.92,138,484349.9,31.69,138,5528.21,3.78,9,1,Monday,4,0,0,Spring,86
2021-04-06,P002,Fashion_Product_2,Fashion,1514.97,1068.5,94,142407.54,18.81,253,1847.56,3.15,0,1,Tuesday,4,0,0,Spring,8
2021-04-06,P031,Fashion_Product_31,Fashion,2173.93,1642.22,146,317394.02,16.41,474,2639.57,3.42,4,1,Tuesday,4,0,0,Spring,34
2021-04-07,P024,Electronics_Product_24,Electronics,9519.54,7053.16,283,2694028.8,15.63,333,12637.84,3.95,7,1,Wednesday,4,0,0,Spring,62
2021-04-08,P038,Fashion_Product_38,Fashion,2213.67,1407.99,161,356400.2,1.04,427,2270.79,3.58,5,0,Thursday,4,0,0,Spring,46
2021-04-08,P032,Fashion_Product_32,Fashion,2694.73,1630.33,91,245220.09,5.39,483,3056.56,3.19,6,0,Thursday,4,0,0,Spring,54
2021-04-08,P024,Electronics_Product_24,Electronics,11236.5,7053.16,172,1932677.91,3.86,264,12398.52,3.66,9,0,Thursday,4,0,0,Spring,63
2021-04-08,P002,Fashion_Product_2,Fashion,1680.94,1068.5,42,70599.41,8.95,322,1990.2,3.11,1,0,Thursday,4,0,0,Spring,10
2021-04-09,P038,Fashion_Product_38,Fashion,2198.51,1407.99,139,305592.91,9.59,307,2308.11,3.63,4,0,Friday,4,0,0,Spring,47
2021-04-09,P032,Fashion_Product_32,Fashion,2449.8,1630.33,92,225381.63,5.92,477,3018.57,3.33,5,0,Friday,4,0,0,Spring,55
2021-04-10,P038,Fashion_Product_38,Fashion,2194.08,1407.99,241,528773.33,9.56,241,2380.83,4.3,6,0,Saturday,4,1,0,Spring,48
2021-04-10,P019,Electronics_Product_19,Electronics,4860.04,2989.92,197,957427.6,3.68,197,5196.69,4.17,12,0,Saturday,4,1,0,Spring,91
2021-04-11,P019,Electronics_Product_19,Electronics,3723.73,2989.92,178,662823.85,21.41,178,4971.05,3.63,12,1,Sunday,4,1,0,Spring,92
2021-04-11,P039,Electronics_Product_39,Electronics,10958.26,6813.39,284,3112145.13,6.5,344,11935.11,3.77,0,0,Sunday,4,1,0,Spring,0
2021-04-12,P019,Electronics_Product_19,Electronics,4400.49,2989.92,93,409245.41,7.56,185,5230.01,3.85,11,0,Monday,4,0,0,Spring,93
2021-04-12,P024,Electronics_Product_24,Electronics,10579.55,7053.16,206,2179388.32,8.78,249,12375.41,3.53,9,0,Monday,4,0,0,Spring,67
2021-04-13,P023,Fashion_Product_23,Fashion,1334.55,916.79,135,180164.71,8.47,261,1558.5,3.6,6,0,Tuesday,4,0,0,Spring,41
2021-04-14,P038,Fashion_Product_38,Fashion,2202.22,1407.99,56,123324.21,5.78,324,2637.9,3.48,6,0,Wednesday,4,0,0,Spring,52
2021-04-14,P018,Electronics_Product_18,Electronics,6027.89,3822.73,160,964462.28,2.15,431,6683.74,3.71,6,0,Wednesday,4,0,0,Spring,63
2021-04-14,P002,Fashion_Product_2,Fashion,1782.94,1068.5,102,181859.59,2.07,291,1802.13,3.64,1,0,Wednesday,4,0,0,Spring,16
2021-04-15,P024,Electronics_Product_24,Electronics,11453.94,7053.16,148,1695182.88,1.06,319,11891.62,3.81,9,0,Thursday,4,0,0,Spring,70
2021-04-15,P019,Electronics_Product_19,Electronics,4733.56,2989.92,199,941977.58,8.49,199,5192.51,4.16,11,0,Thursday,4,0,0,Spring,96
2021-04-16,P028,Electronics_Product_28,Electronics,10124.24,6382.15,42,425218.02,4.48,283,10797.97,3.28,2,0,Friday,4,0,0,Spring,10
2021-04-17,P019,Electronics_Product_19,Electronics,4562.6,2989.92,40,182504.0,9.44,216,5447.49,3.48,10,0,Saturday,4,1,0,Spring,98
2021-04-18,P028,Electronics_Product_28,Electronics,9473.38,6382.15,66,625243.31,7.76,277,11978.08,3.31,1,0,Sunday,4,1,0,Spring,12
2021-04-18,P018,Electronics_Product_18,Electronics,5909.66,3822.73,255,1506962.03,6.81,255,6934.55,3.52,7,0,Sunday,4,1,0,Spring,67
2021-04-18,P023,Fashion_Product_23,Fashion,1386.33,916.79,211,292515.33,5.41,294,1706.33,3.83,6,0,Sunday,4,1,0,Spring,46
2021-04-19,P038,Fashion_Product_38,Fashion,2237.2,1407.99,65,145418.03,4.2,293,2511.51,3.45,8,0,Monday,4,0,0,Spring,57
2021-04-19,P019,Electronics_Product_19,Electronics,5075.38,2989.92,89,451709.08,0.18,178,5415.7,3.9,13,0,Monday,4,0,0,Spring,100
2021-04-19,P032,Fashion_Product_32,Fashion,2682.45,1630.33,251,673295.11,5.21,401,2725.84,3.51,6,0,Monday,4,0,0,Spring,65
2021-04-19,P002,Fashion_Product_2,Fashion,1614.8,1068.5,50,80739.86,5.75,309,1835.51,3.28,2,0,Monday,4,0,0,Spring,21
2021-04-21,P023,Fashion_Product_23,Fashion,1380.42,916.79,125,172552.2,8.1,304,1610.97,3.58,4,0,Wednesday,4,0,0,Spring,49
2021-04-21,P018,Electronics_Product_18,Electronics,5860.39,3822.73,326,1910487.25,9.0,326,6364.02,4.12,10,0,Wednesday,4,0,0,Spring,70
2021-04-21,P023,Fashion_Product_23,Fashion,1358.72,916.79,46,62501.33,9.71,263,1540.49,3.04,4,0,Wednesday,4,0,0,Spring,49
2021-04-23,P028,Electronics_Product_28,Electronics,10371.29,6382.15,37,383737.6,1.47,306,10901.31,3.14,2,0,Friday,4,0,0,Spring,17
2021-04-23,P023,Fashion_Product_23,Fashion,1391.82,916.79,249,346562.02,7.36,249,1534.51,4.01,6,0,Friday,4,0,0,Spring,51
2021-04-25,P032,Fashion_Product_32,Fashion,2536.03,1630.33,325,824209.33,6.28,388,2710.98,3.65,9,0,Sunday,4,1,0,Spring,71
2021-04-25,P023,Fashion_Product_23,Fashion,1421.87,916.79,48,68249.63,5.93,302,1527.03,2.99,6,0,Sunday,4,1,0,Spring,53
2021-04-25,P038,Fashion_Product_38,Fashion,2125.71,1407.99,335,712112.79,6.72,335,2290.9,4.13,7,0,Sunday,4,1,0,Spring,63
2021-04-26,P032,Fashion_Product_32,Fashion,2241.88,1630.33,359,804836.57,16.09,359,3115.31,4.16,9,1,Monday,4,0,0,Spring,72
2021-04-27,P018,Electronics_Product_18,Electronics,5370.82,3822.73,69,370586.62,13.28,434,6439.05,2.98,10,1,Tuesday,4,0,0,Spring,76
2021-04-27,P038,Fashion_Product_38,Fashion,2172.87,1407.99,137,297683.02,4.72,356,2249.66,3.93,7,0,Tuesday,4,0,0,Spring,65
2021-04-27,P028,Electronics_Product_28,Electronics,9757.92,6382.15,154,1502720.13,7.28,339,11908.29,3.83,3,0,Tuesday,4,0,0,Spring,21
2021-04-28,P031,Fashion_Product_31,Fashion,2592.08,1642.22,231,598770.4,1.24,579,2789.85,3.64,5,0,Wednesday,4,0,0,Spring,56
2021-04-29,P039,Electronics_Product_39,Electronics,7188.93,6813.39,84,603869.91,36.35,470,12474.76,3.33,1,1,Thursday,4,0,0,Spring,18
2021-04-29,P031,Fashion_Product_31,Fashion,2547.31,1642.22,264,672490.42,5.71,422,3144.75,3.61,9,0,Thursday,4,0,0,Spring,57
2021-04-30,P002,Fashion_Product_2,Fashion,1755.14,1068.5,29,50899.12,2.55,182,1757.67,3.35,5,0,Friday,4,0,0,Spring,32
2021-04-30,P019,Electronics_Product_19,Electronics,4666.82,2989.92,26,121337.34,6.53,171,5129.03,3.29,14,0,Friday,4,0,0,Spring,111
2021-04-30,P019,Electronics_Product_19,Electronics,4847.13,2989.92,89,431394.77,4.17,168,5148.16,3.68,16,0,Friday,4,0,0,Spring,111
2021-05-01,P039,Electronics_Product_39,Electronics,10895.65,6813.39,248,2702122.21,0.04,391,12524.56,3.84,3,0,Saturday,5,1,0,Spring,20
2021-05-02,P023,Fashion_Product_23,Fashion,1407.36,916.79,44,61923.79,7.88,247,1542.15,3.47,9,0,Sunday,5,1,0,Spring,60
2021-05-03,P024,Electronics_Product_24,Electronics,10880.08,7053.16,55,598404.41,2.84,442,13249.89,3.46,10,0,Monday,5,0,0,Spring,88
2021-05-04,P019,Electronics_Product_19,Electronics,4827.27,2989.92,23,111027.15,1.03,187,5076.49,3.31,13,0,Tuesday,5,0,0,Spring,115
2021-05-05,P032,Fashion_Product_32,Fashion,1828.5,1630.33,183,334616.4,33.6,476,3084.43,3.13,12,1,Wednesday,5,0,0,Spring,81
2021-05-05,P024,Electronics_Product_24,Electronics,6884.11,7053.16,262,1803637.78,39.83,279,11294.07,3.57,13,1,Wednesday,5,0,0,Spring,90
2021-05-06,P018,Electronics_Product_18,Electronics,6629.72,3822.73,138,914901.51,0.83,324,6792.88,3.51,11,0,Thursday,5,0,0,Spring,85
2021-05-06,P038,Fashion_Product_38,Fashion,2005.94,1407.99,67,134397.94,14.43,304,2324.38,3.09,8,1,Thursday,5,0,0,Spring,74
2021-05-06,P024,Electronics_Product_24,Electronics,12151.79,7053.16,169,2053651.84,0.68,445,11829.69,3.67,10,0,Thursday,5,0,0,Spring,91
2021-05-06,P039,Electronics_Product_39,Electronics,10389.08,6813.39,57,592177.35,6.82,310,12435.05,3.39,2,0,Thursday,5,0,0,Spring,25
2021-05-07,P019,Electronics_Product_19,Electronics,4691.59,2989.92,219,1027457.22,1.71,219,5425.01,4.35,17,0,Friday,5,0,0,Spring,118
2021-05-07,P028,Electronics_Product_28,Electronics,10321.77,6382.15,111,1145716.07,1.05,312,10825.91,3.51,3,0,Friday,5,0,0,Spring,31
2021-05-07,P031,Fashion_Product_31,Fashion,2640.88,1642.22,63,166375.66,4.44,498,2759.41,3.38,9,0,Friday,5,0,0,Spring,65
2021-05-07,P024,Electronics_Product_24,Electronics,12036.88,7053.16,204,2455522.92,2.2,454,13436.42,3.74,12,0,Friday,5,0,0,Spring,92
2021-05-08,P028,Electronics_Product_28,Electronics,9815.47,6382.15,54,530035.3,6.26,322,10339.29,3.32,3,0,Saturday,5,1,0,Spring,32
2021-05-08,P023,Fashion_Product_23,Fashion,1531.52,916.79,158,241979.75,4.32,200,1549.21,3.74,9,0,Saturday,5,1,0,Spring,66
2021-05-09,P018,Electronics_Product_18,Electronics,4021.08,3822.73,346,1391295.33,39.16,426,6668.64,3.75,15,1,Sunday,5,1,0,Spring,88
2021-05-09,P028,Electronics_Product_28,Electronics,10755.27,6382.15,176,1892927.61,1.89,284,12168.94,3.9,8,0,Sunday,5,1,0,Spring,33
2021-05-10,P040,Electronics_Product_40,Electronics,3353.9,2065.59,47,157633.08,3.83,374,3574.88,3.33,0,0,Monday,5,0,0,Spring,0
2021-05-10,P039,Electronics_Product_39,Electronics,10890.13,6813.39,220,2395827.58,3.12,250,12736.47,3.64,2,0,Monday,5,0,0,Spring,29
2021-05-10,P019,Electronics_Product_19,Electronics,4776.09,2989.92,83,396415.45,7.4,150,4935.71,3.92,13,0,Monday,5,0,0,Spring,121
2021-05-11,P028,Electronics_Product_28,Electronics,10123.05,6382.15,41,415045.23,1.85,216,11382.31,3.36,4,0,Tuesday,5,0,0,Spring,35
2021-05-11,P040,Electronics_Product_40,Electronics,3316.12,2065.59,56,185702.62,7.18,280,3931.36,3.35,0,0,Tuesday,5,0,0,Spring,1
2021-05-11,P039,Electronics_Product_39,Electronics,10141.15,6813.39,244,2474441.37,9.15,267,11769.01,3.57,5,0,Tuesday,5,0,0,Spring,30
2021-05-11,P031,Fashion_Product_31,Fashion,2710.88,1642.22,82,222292.09,5.05,361,3025.61,3.37,8,0,Tuesday,5,0,0,Spring,69
2021-05-11,P041,Electronics_Product_41,Electronics,3274.39,2037.97,135,442042.48,5.38,190,3696.25,3.73,0,0,Tuesday,5,0,0,Spring,5
2021-05-12,P018,Electronics_Product_18,Electronics,6058.99,3822.73,193,1169385.18,4.54,280,7172.38,3.63,11,0,Wednesday,5,0,0,Spring,91
2021-05-12,P024,Electronics_Product_24,Electronics,11905.84,7053.16,187,2226391.4,0.98,368,13445.54,3.75,10,0,Wednesday,5,0,0,Spring,97
2021-05-13,P008,Fashion_Product_8,Fashion,1499.64,984.85,82,122970.81,4.1,662,1787.49,3.16,0,0,Thursday,5,0,0,Spring,2
2021-05-13,P039,Electronics_Product_39,Electronics,10707.43,6813.39,72,770934.9,9.2,253,12614.55,3.27,4,0,Thursday,5,0,0,Spring,32
2021-05-13,P002,Fashion_Product_2,Fashion,1628.42,1068.5,131,213323.51,9.93,317,1753.82,3.89,5,0,Thursday,5,0,0,Spring,45
2021-05-13,P008,Fashion_Product_8,Fashion,1625.06,984.85,221,359138.53,3.81,570,1578.58,3.99,0,0,Thursday,5,0,0,Spring,2
2021-05-13,P039,Electronics_Product_39,Electronics,10299.18,6813.39,61,628250.21,5.59,299,11783.04,3.37,4,0,Thursday,5,0,0,Spring,32
2021-05-14,P028,Electronics_Product_28,Electronics,9706.14,6382.15,186,1805341.73,9.41,186,10315.05,4.03,4,0,Friday,5,0,0,Spring,38
2021-05-14,P024,Electronics_Product_24,Electronics,10913.72,7053.16,145,1582489.25,6.73,391,11362.06,3.72,12,0,Friday,5,0,0,Spring,99
2021-05-14,P039,Electronics_Product_39,Electronics,10986.22,6813.39,51,560297.16,6.53,436,11080.75,3.06,5,0,Friday,5,0,0,Spring,33
2021-05-14,P024,Electronics_Product_24,Electronics,11306.44,7053.16,189,2136916.99,5.24,394,12005.95,3.53,15,0,Friday,5,0,0,Spring,99
2021-05-15,P002,Fashion_Product_2,Fashion,1654.6,1068.5,174,287899.68,4.39,273,1980.21,3.74,6,0,Saturday,5,1,0,Spring,47
2021-05-17,P039,Electronics_Product_39,Electronics,11043.96,6813.39,47,519066.08,7.1,329,11407.94,3.44,3,0,Monday,5,0,0,Spring,36
2021-05-17,P040,Electronics_Product_40,Electronics,3336.34,2065.59,61,203516.59,7.64,412,3792.62,3.03,0,0,Monday,5,0,0,Spring,7
2021-05-18,P002,Fashion_Product_2,Fashion,1583.14,1068.5,175,277049.34,12.41,182,1821.6,3.66,7,1,Tuesday,5,0,0,Spring,50
2021-05-19,P039,Electronics_Product_39,Electronics,10632.54,6813.39,183,1945755.01,4.99,301,11266.33,3.57,4,0,Wednesday,5,0,0,Spring,38
2021-05-20,P041,Electronics_Product_41,Electronics,2573.06,2037.97,265,681860.37,26.7,294,3504.94,3.72,2,1,Thursday,5,0,0,Spring,14
2021-05-20,P019,Electronics_Product_19,Electronics,3267.77,2989.92,163,532646.95,34.85,219,4891.34,3.8,20,1,Thursday,5,0,0,Spring,131
2021-05-20,P032,Fashion_Product_32,Fashion,2552.34,1630.33,287,732521.79,9.15,446,2939.97,3.67,15,0,Thursday,5,0,0,Spring,96
2021-05-20,P020,Home_Product_20,Home,1268.23,836.53,66,83703.38,6.91,107,1377.66,3.96,0,0,Thursday,5,0,0,Spring,1
2021-05-21,P020,Home_Product_20,Home,1376.52,836.53,56,77084.96,1.8,172,1447.44,3.83,0,0,Friday,5,0,0,Spring,2
2021-05-22,P002,Fashion_Product_2,Fashion,1106.15,1068.5,342,378304.35,35.2,342,1820.06,3.75,7,1,Saturday,5,1,0,Spring,54
2021-05-22,P032,Fashion_Product_32,Fashion,2602.6,1630.33,338,879679.89,6.18,514,2914.1,3.64,10,0,Saturday,5,1,0,Spring,98
2021-05-22,P040,Electronics_Product_40,Electronics,3376.97,2065.59,189,638247.42,2.07,231,3274.3,3.57,1,0,Saturday,5,1,0,Spring,12
2021-05-22,P031,Fashion_Product_31,Fashion,2613.11,1642.22,324,846646.42,0.63,381,2956.13,3.56,9,0,Saturday,5,1,0,Spring,80
2021-05-22,P020,Home_Product_20,Home,1275.11,836.53,102,130061.06,4.65,158,1514.12,3.97,0,0,Saturday,5,1,0,Spring,3
2021-05-22,P018,Electronics_Product_18,Electronics,5764.19,3822.73,360,2075107.22,10.69,360,7314.56,4.05,12,1,Saturday,5,1,0,Spring,101
2021-05-22,P039,Electronics_Product_39,Electronics,10521.37,6813.39,286,3009112.67,6.06,390,11353.59,3.96,4,0,Saturday,5,1,0,Spring,41
